pTHUMB_BONE3_X,pTHUMB_BONE3_Y,pTHUMB_BONE3_Z,pINDEX_BONE3_X,pINDEX_BONE3_Y,pINDEX_BONE3_Z,pMIDDLE_BONE3_X,pMIDDLE_BONE3_Y,pMIDDLE_BONE3_Z,pRING_BONE3_X,pRING_BONE3_Y,pRING_BONE3_Z,pPINKY_BONE3_X,pPINKY_BONE3_Y,pPINKY_BONE3_Z,target
0.1390165,-0.07754121,0.5807527,-0.04577731,-0.06611991,0.5330133,-0.0723156,-0.07039418,0.526733,-0.1203267,-0.1271579,0.5744453,-0.100304,-0.1024482,0.5439494,THUMB
0.1396471,-0.07821377,0.5817683,-0.04581999,-0.06608322,0.5321474,-0.07225747,-0.07091813,0.5257813,-0.1203291,-0.1285712,0.5735739,-0.1004096,-0.1031861,0.5430323,THUMB
0.1396106,-0.07857376,0.5818945,-0.04616851,-0.066095,0.5316536,-0.07257739,-0.07117567,0.5252767,-0.1206435,-0.1293847,0.5730504,-0.1008011,-0.1035996,0.5425223,THUMB
0.1398613,-0.0789272,0.5819225,-0.0461451,-0.06596553,0.5313143,-0.072533,-0.07133537,0.5248981,-0.1206711,-0.1301229,0.5726575,-0.1007716,-0.1041005,0.5421521,THUMB
0.1391711,-0.07831614,0.5798031,-0.04648516,-0.06514552,0.5319666,-0.07255423,-0.07098166,0.5260735,-0.1202815,-0.1300854,0.5729641,-0.1004952,-0.1041905,0.5428773,THUMB
0.1399241,-0.07837165,0.5783944,-0.04534145,-0.0659897,0.53115,-0.07101505,-0.07236901,0.5256455,-0.1188233,-0.1308927,0.5719118,-0.09875479,-0.1057447,0.5421311,THUMB
0.1412492,-0.07867865,0.5792561,-0.04415527,-0.06651098,0.53081,-0.06973082,-0.07299636,0.5252686,-0.1178336,-0.1310679,0.5713391,-0.09746392,-0.1063476,0.5416713,THUMB
0.1428807,-0.07920789,0.5805334,-0.04289611,-0.06672219,0.5306081,-0.06849375,-0.07315532,0.524967,-0.1169409,-0.1309841,0.570998,-0.09633097,-0.1064647,0.5413604,THUMB
0.1448691,-0.0800107,0.5824656,-0.04176153,-0.06635314,0.5306255,-0.06748978,-0.07259907,0.5248512,-0.1164299,-0.1302836,0.5710062,-0.09561229,-0.1057799,0.5412747,THUMB
0.1465418,-0.08053031,0.5847629,-0.04097213,-0.06552064,0.5310804,-0.06680353,-0.07159463,0.5251523,-0.1161864,-0.1293575,0.571169,-0.095199,-0.1047016,0.5414326,THUMB
0.148222,-0.08088318,0.5868484,-0.0394973,-0.06452012,0.5320313,-0.06531259,-0.07062256,0.5259066,-0.1152257,-0.128524,0.5713755,-0.09394011,-0.1037243,0.5418831,THUMB
